origin_time,amp1_0.0158Hz,amp2_0.0158Hz,amp1_0.0199Hz,amp2_0.0199Hz,amp1_0.0251Hz,amp2_0.0251Hz,amp1_0.0316Hz,amp2_0.0316Hz,amp1_0.0398Hz,amp2_0.0398Hz,amp1_0.0501Hz,amp2_0.0501Hz,amp1_0.0631Hz,amp2_0.0631Hz,amp1_0.0794Hz,amp2_0.0794Hz,amp1_0.1000Hz,amp2_0.1000Hz,amp1_0.1259Hz,amp2_0.1259Hz,amp1_0.1585Hz,amp2_0.1585Hz,amp1_0.1995Hz,amp2_0.1995Hz,amp1_0.2512Hz,amp2_0.2512Hz,amp1_0.3162Hz,amp2_0.3162Hz,amp1_0.3981Hz,amp2_0.3981Hz,amp1_0.5012Hz,amp2_0.5012Hz,amp1_0.6310Hz,amp2_0.6310Hz,amp1_0.7943Hz,amp2_0.7943Hz,amp1_1.0000Hz,amp2_1.0000Hz
2020-02-13T10:33:44.930000Z,5.279306727471591e-08,5.0791105776446236e-08,3.5750207683950844e-08,3.627833973580829e-08,4.248823892486189e-08,6.10207963134068e-08,1.367513745044552e-07,1.0241199835461189e-07,2.095177587096604e-07,1.8671950416349202e-07,2.272456493476434e-07,1.8205945647854097e-07,2.025659562510942e-07,1.4560289891100644e-07,2.3903638920359494e-07,1.714600201488993e-07,2.775809007137446e-07,2.0137816788082277e-07,3.613214072571118e-07,1.7152335122443662e-07,2.3114569275011686e-07,1.1507847088641012e-07,3.092141742552073e-07,9.538201258955765e-08,2.717689315082911e-07,7.72544042407395e-08,1.930948830200284e-07,6.898880750420925e-08,1.872899107398934e-07,6.562438459049522e-08,3.4706320277212814e-07,8.837332302898811e-08,2.191088845609876e-07,1.053167932015246e-07,1.860931566102729e-07,1.1686204331343607e-07,4.933172327574298e-08,3.187687719925358e-08
2020-03-14T10:01:16.900000Z,2.3391515611332962e-09,2.377691547770612e-09,3.321622310033174e-09,3.13971151994691e-09,4.135909078633694e-09,3.8674632073929925e-09,5.870094685200035e-09,5.101206404566905e-09,1.0914395082317861e-08,7.825326712110706e-09,4.2226210394656835e-08,3.3427947898244685e-08,3.683056075185921e-08,3.273645430250514e-08,1.0016552484768989e-08,6.9537077223893994e-09,1.5779776144877383e-08,7.340852128988959e-09,2.048273058144317e-08,8.479040002389806e-09,5.354495846477659e-08,1.7179506077410444e-08,6.169129560924928e-08,1.6795768950928595e-08,4.61110235838856e-08,1.2151409994225072e-08,2.9677622856228097e-08,7.855507443161892e-09,2.59594656147165e-08,5.154473170405122e-09,1.5176249888102557e-08,2.942623574767459e-09,8.582017928657465e-09,2.1335763073264223e-09,5.674753125961912e-09,1.90923885291764e-09,3.0576282709158795e-09,8.813588293231494e-10
2020-03-25T02:49:19.890000Z,3.42247473960123e-07,3.261652528950532e-07,7.723920477583892e-07,5.757494830640152e-07,1.0600802496754995e-06,1.0811945732960664e-06,1.6610653910776149e-06,1.507585770187864e-06,2.018802416555326e-06,1.8551307276654649e-06,2.3037292203445465e-06,1.3861052366072285e-06,1.1955643610048885e-06,1.3438174339944114e-06,7.323110465809911e-07,6.476604289302787e-07,5.779435334288971e-07,4.124918039052502e-07,5.402895365313992e-07,3.320576188153501e-07,5.138590633291533e-07,2.744020024310339e-07,3.53454622287624e-07,1.3213003780186794e-07,5.206787896792876e-07,1.6727367430179646e-07,6.743684338214674e-07,1.727086502758006e-07,2.795258607399127e-07,9.805832535577422e-08,3.032938370003031e-07,1.1348536619483949e-07,2.4006182161797426e-07,6.809594022679353e-08,1.319936350706308e-07,1.1213911417227196e-07,7.067699971902594e-08,3.3398685228866836e-08
2020-04-18T08:25:37.640000Z,2.0577061831525188e-09,1.9441066355354884e-09,2.8091818591215156e-09,2.526078137170247e-09,5.337273479223882e-09,4.771261610764728e-09,8.118026735969458e-09,9.379680123561794e-09,1.1293956985596924e-08,1.2280213372245192e-08,3.133023445998444e-08,2.077450049935945e-08,4.4001136493789644e-08,2.201020830308195e-08,3.47257049246498e-08,2.9256112642279527e-08,2.794421305388632e-08,1.750892484286855e-08,2.4436416385847312e-08,1.1577042503777661e-08,2.5059478699354917e-08,9.804285625167795e-09,4.63149886474364e-08,1.6371414593680643e-08,3.7005746204788544e-08,1.0973499016172152e-08,4.334531656898207e-08,1.2475035782511938e-08,4.2397288173531645e-08,1.5114921215214324e-08,4.207951368750614e-08,1.1296587298925742e-08,3.8311087711337034e-08,1.2638734977681853e-08,2.2280299517904287e-08,1.2230912502928912e-08,2.0994690418523096e-08,1.1022905818009352e-08
2020-05-02T12:51:05.870000Z,1.4084984197979049e-07,1.0574034672186264e-07,3.5450429365407144e-07,3.8087786943311723e-07,1.0037611903889855e-06,5.934104372099659e-07,1.8922209124446543e-06,7.896676859742495e-07,2.8428064197365e-06,9.029176094365504e-07,2.0000396242718307e-06,1.0165264083467838e-06,3.042070377275993e-06,2.167617811340708e-06,2.698382620132679e-06,3.228495313782783e-06,3.02474342466904e-06,2.1968903424127257e-06,3.5853183830453367e-06,1.4624673406469069e-06,3.3525686215773024e-06,1.1335350805299743e-06,2.680674492040758e-06,9.374677901813804e-07,2.3995899346144423e-06,6.556432024978626e-07,1.5631785266748442e-06,5.763340012929886e-07,1.371131062364746e-06,3.05699679385346e-07,9.036759418886228e-07,2.1481603223320389e-07,6.255726780195873e-07,1.667301977025051e-07,3.008011023211117e-07,1.4986980721211557e-07,2.1786685543228057e-07,4.492261800245985e-08
2020-06-03T07:35:35.630000Z,6.686436820646143e-09,5.708553665626008e-09,1.0423565969837053e-08,1.0893730843450238e-08,2.5522685727226346e-08,2.252734784827961e-08,2.9498436234341618e-08,2.0332668626704346e-08,5.3482348672506746e-08,3.1714844821573625e-08,4.8820402232854465e-08,3.05969883743778e-08,5.49877980135903e-08,2.8795514399689188e-08,4.7712199199754726e-08,2.5556153777190084e-08,4.5788512523075546e-08,2.4010331243413004e-08,4.658627605093228e-08,2.7330244570183377e-08,6.974913336187273e-08,2.9753392433594926e-08,5.253652909365861e-08,2.428771472750376e-08,5.677648231046999e-08,1.7881837451544584e-08,3.4769011578223195e-08,8.155082445416637e-09,2.3310412175211373e-08,5.7816302474582565e-09,2.5765550274196456e-08,5.340893290050876e-09,1.883375801307813e-08,3.905028083505841e-09,7.969304415619214e-09,2.0462386589285132e-09,5.437851650308821e-09,9.949136590188447e-10
2020-06-13T15:51:23.730000Z,1.0667556365642452e-08,1.1778340417765974e-08,9.829415999446006e-09,1.0119260417566561e-08,1.1689250785955441e-08,1.1759066788784165e-08,1.6473334037789282e-08,1.4179561714923405e-08,2.933630681756781e-08,2.2913915861999062e-08,6.378186521648567e-08,4.3463065229891393e-08,5.573344999683307e-08,5.2962554065057616e-08,5.159465820409317e-08,4.2142805239445034e-08,5.164029265950648e-08,2.737389459528453e-08,4.158530896332596e-08,2.30726004168656e-08,3.443820453639087e-08,1.4941313734923185e-08,4.305529422556135e-08,1.3940506689533408e-08,6.919366988092016e-08,1.9463722516707537e-08,7.017505748250628e-08,2.0921651750817487e-08,3.5148219604200485e-08,9.978526639517388e-09,3.882965380025429e-08,8.5488898541026e-09,2.6043784805624407e-08,6.4466961271877605e-09,1.0462324270605578e-08,4.8822029352407814e-09,5.4983696720375625e-09,2.1493676991945764e-09
2020-06-18T12:49:55.870000Z,6.039181319662786e-08,4.186541033175913e-08,9.054278896059132e-08,8.7047724073888e-08,9.799675871022125e-08,9.719980174240344e-08,1.2737930770458008e-07,9.96743111534582e-08,1.9655828586821225e-07,1.0836039973620917e-07,2.64757206084103e-07,2.18212608814688e-07,1.8210199108259465e-07,1.0666317923101576e-07,9.342084099653233e-08,7.272123975979418e-08,1.045357948067194e-07,4.9840497463207145e-08,4.652137199408278e-08,3.1607489203518525e-08,5.999201734323188e-08,2.843468143779046e-08,9.541717942968172e-08,3.1092645282106e-08,6.570630954116232e-08,2.0076460617241582e-08,7.873375149591838e-08,2.1182833330377043e-08,7.256937718250828e-08,2.5241728277916064e-08,6.897290283390144e-08,2.1933927383893976e-08,3.8437953474222584e-08,1.0202557653971407e-08,2.4798116966750564e-08,7.661523108319122e-09,7.259952161773881e-09,3.2733070680389422e-09
2020-06-23T15:29:02.870000Z,9.563944335742566e-08,9.536635422845585e-08,2.381585232964158e-07,2.028043077333426e-07,3.31109849324486e-07,2.971493912174248e-07,8.292245724882918e-07,6.099211834700794e-07,1.2486685952556457e-06,1.5644101660485308e-06,2.66782797109083e-06,2.700152293886377e-06,1.204134727560177e-06,1.046718060163226e-06,3.3658061913644974e-07,2.6537660467536105e-07,2.215963807710549e-07,1.276141355305631e-07,3.0080707681543733e-07,1.607463355995356e-07,1.9226375869219906e-07,1.1118657674198973e-07,1.621774304334643e-07,6.683767375619835e-08,1.3865781254313757e-07,4.6474454640698225e-08,1.0798356241586555e-07,2.8945008991973498e-08,7.88864563020917e-08,2.3470768972700017e-08,7.949386718544286e-08,1.77884062540349e-08,4.89158364301164e-08,1.4271508174962564e-08,1.575960606539863e-08,5.917755421677473e-09,6.994213137395637e-09,2.542182951594678e-09
2020-07-17T02:50:22.760000Z,1.214297197795606e-08,1.4408454209818986e-08,3.043442883001183e-08,2.6092887800306783e-08,6.21724919878082e-08,5.5522075799440714e-08,6.849631760384627e-08,5.3665743509849956e-08,1.0564392892444793e-07,8.023967981236588e-08,7.342993660286184e-08,7.746117003584657e-08,6.264017967841919e-08,5.362198905335573e-08,6.224567267176165e-08,4.318944499427221e-08,5.923475917254463e-08,3.3184317007977713e-08,5.6044947531150435e-08,2.8547197557741176e-08,5.5083815751773626e-08,2.5388801077481312e-08,5.860298279179964e-08,1.937204068521e-08,7.067532974804476e-08,2.1384256937366705e-08,4.5790034469089784e-08,1.1777658881277753e-08,3.223515744716037e-08,9.776597350471498e-09,2.8196374827975156e-08,8.977571020201342e-09,2.3979425026491216e-08,6.917251440748592e-09,1.0306510664063028e-08,4.7882293640911755e-09,4.15501062379933e-09,1.478297240762407e-09
