origin_time,amp2_0.0158Hz,amp2_0.0199Hz,amp2_0.0251Hz,amp2_0.0316Hz,amp2_0.0398Hz,amp2_0.0501Hz,amp2_0.0631Hz,amp2_0.0794Hz,amp2_0.1000Hz,amp2_0.1259Hz,amp2_0.1585Hz,amp2_0.1995Hz,amp2_0.2512Hz,amp2_0.3162Hz,amp2_0.3981Hz,amp2_0.5012Hz,amp2_0.6310Hz,amp2_0.7943Hz,amp2_1.0000Hz,amp1_0.0158Hz,amp1_0.0199Hz,amp1_0.0251Hz,amp1_0.0316Hz,amp1_0.0398Hz,amp1_0.0501Hz,amp1_0.0631Hz,amp1_0.0794Hz,amp1_0.1000Hz,amp1_0.1259Hz,amp1_0.1585Hz,amp1_0.1995Hz,amp1_0.2512Hz,amp1_0.3162Hz,amp1_0.3981Hz,amp1_0.5012Hz,amp1_0.6310Hz,amp1_0.7943Hz,amp1_1.0000Hz
2019-03-28T22:06:49.350000Z,1.2986457654138408e-13,3.1096368582508833e-13,8.221408600914265e-13,1.2549122673324294e-12,4.06067269769939e-12,4.388925879012253e-12,9.702267127840942e-12,1.0055425981745478e-11,3.4001844226682484e-12,3.020007597797984e-12,7.598498210829669e-12,6.6113415714570676e-12,4.7894068203286846e-12,4.268774022893477e-12,3.927787470205815e-12,2.989581800173088e-12,3.1213343295292477e-12,3.4386236296689045e-12,2.5288270222645122e-12,5.707671078107355e-13,5.294255906424974e-13,7.775728228712086e-13,1.6785299493767585e-12,5.177157779923824e-12,6.332218262638982e-12,1.8639306884049664e-11,1.4826165425933303e-11,7.328035943480732e-12,9.268463102691044e-12,3.034362600813843e-11,2.7227230658310656e-11,2.5974612924147744e-11,2.808188406603396e-11,2.185055084123337e-11,1.8157469321554683e-11,1.4388783918274055e-11,1.2581142145922127e-11,1.3532195939684352e-11
2019-05-14T12:58:26.610000Z,7.140825303771495e-12,7.126973724088296e-12,2.4198252205075167e-11,4.139664832246949e-11,4.65496686015086e-11,4.2962475883053076e-11,4.1307437677709616e-11,1.4480252025906269e-11,7.29604863464819e-12,4.730960241849479e-12,5.594299230769822e-12,6.100331181179485e-12,6.500772948348292e-12,5.254704890011307e-12,3.379632673842215e-12,3.735919221100742e-12,3.3201395787456768e-12,3.4260982564919072e-12,2.472773473752503e-12,1.0113890467049714e-11,9.833706817121748e-12,3.089420142608484e-11,5.5592744740444896e-11,9.278893999986718e-11,8.287860359431229e-11,5.5383004905936675e-11,2.693264853222227e-11,1.547247614179974e-11,1.4100924651202232e-11,1.9268204815737657e-11,3.362843151112613e-11,3.753034402841261e-11,3.1851571909111354e-11,2.5864458128007534e-11,3.4634557677276016e-11,3.178393842858384e-11,3.315270905329628e-11,3.3029463202077744e-11
2019-06-18T13:22:21.040000Z,6.26184335716567e-13,7.583690805889437e-13,1.0035841041372129e-12,2.454462561198292e-12,8.723037458053565e-12,3.5715200953109176e-11,8.061544313654268e-11,1.4052473412164102e-10,7.189375205885149e-11,1.1930553103107931e-11,1.1505020492085407e-11,3.75132511054869e-12,3.871202442428001e-12,3.577770045867956e-12,3.871724030724972e-12,3.617724144980194e-12,4.957283076122495e-12,6.2346804052894295e-12,4.929248579156466e-12,2.6443781342091373e-12,3.007422633360645e-12,4.241592725082925e-12,6.763725567318264e-12,1.4785905394080043e-11,5.2946474563731635e-11,1.6920232096827314e-10,2.6978996757468155e-10,1.0160979827622668e-10,4.3527171385753326e-11,3.290366640133031e-11,2.4595201907268042e-11,2.319151479346421e-11,1.9749855998880344e-11,1.8732014289252816e-11,2.2867558536496446e-11,2.670579757847706e-11,4.428384248696948e-11,4.3492570013103045e-11
2019-06-25T09:05:41.840000Z,2.2678292447972232e-13,2.984131961606296e-13,4.97925975080134e-13,2.361956727691897e-12,3.5069474608049965e-12,9.795839870704455e-12,2.0998678078309607e-11,2.067036765662663e-11,7.577014372591433e-12,5.2858155483306195e-12,3.2212904829069817e-12,2.307145416489028e-12,3.070259709767064e-12,2.3070337467428974e-12,2.4328663713433708e-12,3.015789184489387e-12,3.816824059831441e-12,4.914956006494653e-12,4.2731635221324935e-12,9.143345392382114e-13,8.579973823596489e-13,1.0182886237431868e-12,1.771437013913652e-12,3.919286701439299e-12,1.5525922279526616e-11,3.8940295841878525e-11,3.773992103774017e-11,2.7844894808667224e-11,1.3585846853865674e-11,1.338577372965948e-11,1.0140541982965943e-11,1.387432456764006e-11,1.593398352214104e-11,1.3474380269740349e-11,1.3997841280116127e-11,1.8707457669366237e-11,3.010923019906545e-11,3.092158697340399e-11
2019-06-26T02:18:08.510000Z,5.126025685194708e-13,6.789649649757691e-13,8.806857456464854e-13,2.327031595112048e-12,2.9855529701095184e-12,1.6943689787299478e-11,3.87361830522272e-11,3.707967528980983e-11,3.757879940048598e-11,1.8293617369533487e-11,1.1161857787035546e-11,4.1154186125938146e-12,3.186402035526042e-12,3.341266526444442e-12,3.446803985321673e-12,3.799741461825463e-12,4.628543680996384e-12,5.364520547304288e-12,4.38313076405806e-12,1.7473409260648729e-12,1.150300266381085e-12,1.3807145592814452e-12,2.2751008692391208e-12,6.628430972708102e-12,3.0610957201143036e-11,5.4727869149875155e-11,8.248441164442871e-11,9.006750342019036e-11,6.490741165763641e-11,3.2519734174966693e-11,2.5158472599248284e-11,2.0299424652822924e-11,1.6549817508879078e-11,1.9755711836331047e-11,1.6768136845477493e-11,1.954022373581287e-11,2.1618159697896728e-11,2.531069565115752e-11
2019-07-14T09:10:50.960000Z,5.738578177515749e-13,1.329887170798387e-12,3.172318758076408e-12,5.338466105376252e-12,1.6328553549183586e-11,3.7760905868901677e-11,2.2868255923585503e-11,1.2978713342259036e-11,7.11507936353416e-12,3.555272466329126e-12,2.0578055547853763e-12,1.4353915273871018e-12,1.986619624526154e-12,2.841480665652593e-12,2.98289522200884e-12,3.718904865509075e-12,4.058274715618551e-12,4.5695966045517615e-12,3.516661079261025e-12,3.086549857802617e-13,1.8866553163606358e-12,5.335743761058212e-12,9.902774869427083e-12,1.71821389709335e-11,7.42642683482777e-11,5.36319089713224e-11,2.073322869117173e-11,1.9564659978306607e-11,1.0580836928327862e-11,6.818485361505739e-12,6.357902446325799e-12,1.2003471054268395e-11,1.6491282408219458e-11,1.4444434445107147e-11,1.5668347509698798e-11,1.3001145609977814e-11,1.4142350874220335e-11,1.7884455202258126e-11
2019-08-01T18:28:06.620000Z,1.1381344635232668e-13,1.829407938703075e-13,5.469252096147239e-13,7.782723908145935e-13,3.779260008521434e-12,9.734292493057108e-12,1.1069804072190096e-11,1.6750694396684428e-12,8.58074126690504e-13,7.26891537636469e-13,9.620560771047397e-13,2.060431320799592e-12,2.4230229249043693e-12,2.6722119316952838e-12,3.2350591369449792e-12,3.4262605785566144e-12,4.1625994004603774e-12,4.9198554217189095e-12,4.4676717447789065e-12,2.2730221156025592e-13,2.692589553875879e-13,6.576939560872887e-13,2.121746532471813e-12,6.7584613936630185e-12,1.3801044361721179e-11,2.114113476403164e-11,3.671428861172007e-12,1.6369818080668812e-12,1.0601198104435438e-12,2.2180594108597517e-12,7.04683991551784e-12,1.3570601592389576e-11,1.4279389650546087e-11,1.6382532630296318e-11,1.0500026679046804e-11,1.0780553486491971e-11,1.2455693425913438e-11,1.4493208606989276e-11
2019-08-04T10:23:03.250000Z,8.620432111299876e-14,1.96880371638834e-13,3.316250469167952e-13,1.8002579413190576e-12,1.7906640776887337e-12,6.37085408061435e-12,5.8021551121627575e-12,7.877997279296329e-12,3.316048218464444e-12,1.6643925209594745e-12,1.351056000829338e-12,2.24652225100422e-12,2.1379027504129655e-12,1.912661240250414e-12,2.4117307317470557e-12,3.060216841694182e-12,3.2353408871805087e-12,3.821163197160394e-12,2.8689864211364306e-12,1.2553512028160596e-13,2.1889452516736786e-13,5.946890214375082e-13,2.0245016740607997e-12,4.256465448931494e-12,9.934215746099232e-12,1.406458294025518e-11,1.9830396914282285e-11,5.695832408049101e-12,4.311710469236563e-12,4.6022942383467856e-12,1.1217023470791419e-11,1.0939553339276982e-11,1.235868484643465e-11,1.1905893839793868e-11,1.0362634347408428e-11,1.2131748035086873e-11,1.4907221721517658e-11,1.3166442596108829e-11
2019-10-29T01:04:44.780000Z,5.867514844278367e-13,1.327564122657887e-12,2.6630858942266176e-12,6.3814526427143466e-12,9.43563291757098e-12,1.0242022635662312e-11,8.491650190234531e-12,4.8379873722408455e-12,2.901183566004617e-12,1.872859232593424e-12,3.337463572010612e-12,6.823866628443216e-12,8.383594115925007e-12,5.828790434502808e-12,4.397191488607078e-12,3.452898273451779e-12,3.4719987411112345e-12,4.021947036162966e-12,3.108568758548736e-12,1.4705706533406148e-12,1.5421505687152957e-12,3.4543502907933678e-12,6.962469221243486e-12,1.37619512555712e-11,2.03704454751709e-11,1.1939561435165106e-11,1.0854025578543903e-11,4.7075214035988735e-12,5.804953555222138e-12,1.724390685627164e-11,4.548821940106945e-11,6.892733655723477e-11,4.6512555007095055e-11,3.834066073846159e-11,2.2195103710164288e-11,1.4902923565708358e-11,1.1352910995252838e-11,1.1907123094294044e-11
2019-10-31T01:11:19.430000Z,1.9079265799103162e-13,4.3449048894521143e-13,9.349771696366244e-13,2.6246434205960456e-12,4.871780954103512e-12,5.262273521576749e-12,5.521236354418998e-12,3.0532085958864067e-12,1.8460503230808586e-12,1.4797207789015118e-12,1.4127975128719522e-12,2.424965081930148e-12,4.597266494725229e-12,3.746222551769791e-12,2.668845836599108e-12,2.2349680446752007e-12,2.298214316163976e-12,2.3167363132273106e-12,1.944972889958092e-12,,,,,,,,,,,,,,,,,,,
